Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.


Index by function name

  [55] AES_128_Key_Expansion (aes_key_expansion.c:20 @ 4020f0) [152] F64_mult_efficient (field_op.h:32 @ 40130e) [43] _mm_extract_epi64 (smmintrin.h:455 @ 4010d9)
  [88] AES_128_Key_Expansion (aes_key_expansion.c:20 @ 402101) [105] F64_mult_efficient (field_op.h:34 @ 40131c) [159] _mm_extract_epi64 (smmintrin.h:455 @ 401286)
  [89] AES_128_Key_Expansion (aes_key_expansion.c:25 @ 40211a) [153] F64_mult_efficient (field_op.h:36 @ 401323) [69] _mm_loadu_si128 (emmintrin.h:685 @ 40200f)
 [130] AES_128_Key_Expansion (aes_key_expansion.c:56 @ 402131) [154] F64_mult_efficient (field_op.h:38 @ 401327) [115] _mm_loadu_si128 (emmintrin.h:685 @ 4020fd)
  [56] AES_128_Key_Expansion (aes_key_expansion.c:56 @ 402328) [106] FIN_Post_Proc.omp_fn.4 (hash.c:255 @ 40136c) [27] _mm_loadu_si128 (emmintrin.h:685 @ 40234d)
 [179] AES_192_Key_Expansion (aes_key_expansion.c:78 @ 402340) [155] FIRST_Pre_Proc.omp_fn.0 (hash.c:138 @ 400bf0) [116] _mm_loadu_si128 (emmintrin.h:685 @ 402360)
  [90] AES_192_Key_Expansion (aes_key_expansion.c:78 @ 402351) [5] FIRST_Pre_Proc.omp_fn.0 (hash.c:138 @ 400de1) [117] _mm_shuffle_epi32 (emmintrin.h:1380 @ 40226b)
  [91] AES_192_Key_Expansion (aes_key_expansion.c:122 @ 402369) [83] STD_Post_Proc (hash.c:228 @ 401c16) [118] _mm_shuffle_epi32 (emmintrin.h:1380 @ 40229e)
 [131] AES_192_Key_Expansion (aes_key_expansion.c:89 @ 4023be) [84] STD_Post_Proc (hash.c:241 @ 401c3d) [160] _mm_shuffle_epi32 (emmintrin.h:1380 @ 402455)
  [79] AES_192_Key_Expansion (aes_key_expansion.c:98 @ 402462) [4] STD_Post_Proc.omp_fn.2 (hash.c:228 @ 400ee0) [161] _mm_shuffle_epi32 (emmintrin.h:1380 @ 40249a)
  [57] AES_192_Key_Expansion (aes_key_expansion.c:118 @ 4025e2) [8] STD_Post_Proc.omp_fn.2 (hash.c:228 @ 400f09) [119] _mm_shuffle_epi32 (emmintrin.h:1380 @ 4024a7)
  [39] AES_Decrypt (aes_encryption.c:30 @ 4020dd) [31] STD_Post_Proc.omp_fn.2 (hash.c:231 @ 400f40) [120] _mm_shuffle_epi32 (emmintrin.h:1380 @ 4024df)
  [45] AES_Encrypt (aes_encryption.c:5 @ 401ff0) [32] STD_Post_Proc.omp_fn.2 (hash.c:228 @ 400faf) [162] _mm_shuffle_epi32 (emmintrin.h:1380 @ 402541)
  [80] AES_Encrypt (aes_encryption.c:11 @ 40200c) [33] STD_Post_Proc.omp_fn.2 (hash.c:233 @ 400fc8) [70] _mm_shuffle_epi32 (emmintrin.h:1380 @ 4025a7)
 [132] AES_Encrypt (aes_encryption.c:11 @ 402013) [15] STD_Post_Proc.omp_fn.2 (hash.c:235 @ 401040) [163] _mm_shuffle_pd (emmintrin.h:885 @ 40245a)
 [133] AES_Encrypt (aes_encryption.c:4 @ 40201b) [14] STD_Post_Proc.omp_fn.2 (hash.c:237 @ 4010b8) [71] _mm_shuffle_pd (emmintrin.h:885 @ 402513)
 [134] AES_Encrypt (aes_encryption.c:11 @ 40201e) [61] STD_Post_Proc.omp_fn.2 (hash.c:237 @ 401129) [121] _mm_shuffle_pd (emmintrin.h:885 @ 4025a3)
  [92] AES_Encrypt (aes_encryption.c:4 @ 402021) [7] STD_Post_Proc.omp_fn.2 (hash.c:228 @ 401134) [164] _mm_slli_si128 (emmintrin.h:1155 @ 40214f)
  [58] AES_Encrypt (aes_encryption.c:16 @ 40205d) [156] STD_Pre_Proc (hash.c:179 @ 4019b5) [72] _mm_slli_si128 (emmintrin.h:1155 @ 4021bf)
  [23] AES_Proc (hash.c:92 @ 401b1c) [107] STD_Pre_Proc (hash.c:179 @ 401a0a) [53] _mm_slli_si128 (emmintrin.h:1155 @ 4021f2)
   [2] AES_Proc.omp_fn.1 (hash.c:92 @ 400df0) [1] STD_Pre_Proc.omp_fn.3 (hash.c:179 @ 401140) [122] _mm_slli_si128 (emmintrin.h:1155 @ 402200)
  [10] AES_Proc.omp_fn.1 (hash.c:112 @ 400e50) [28] STD_Pre_Proc.omp_fn.3 (hash.c:179 @ 40116f) [73] _mm_slli_si128 (emmintrin.h:1155 @ 402233)
  [38] AES_Proc.omp_fn.1 (hash.c:114 @ 400e60) [16] STD_Pre_Proc.omp_fn.3 (hash.c:179 @ 401182) [123] _mm_slli_si128 (emmintrin.h:1155 @ 402266)
 [135] AES_Proc.omp_fn.1 (hash.c:92 @ 400e76) [62] STD_Pre_Proc.omp_fn.3 (hash.c:186 @ 4011c0) [36] _mm_slli_si128 (emmintrin.h:1155 @ 40228b)
 [136] AES_Proc.omp_fn.1 (hash.c:96 @ 400e80) [108] STD_Pre_Proc.omp_fn.3 (hash.c:186 @ 40122c) [124] _mm_slli_si128 (emmintrin.h:1155 @ 402299)
  [18] AES_Proc.omp_fn.1 (hash.c:98 @ 400e90) [63] STD_Pre_Proc.omp_fn.3 (hash.c:179 @ 401233) [48] _mm_slli_si128 (emmintrin.h:1155 @ 4022be)
  [19] AES_Proc.omp_fn.1 (hash.c:104 @ 400eb0) [109] STD_Pre_Proc.omp_fn.3 (hash.c:182 @ 40124b) [165] _mm_slli_si128 (emmintrin.h:1155 @ 40237a)
  [78] AES_Proc.omp_fn.1 (hash.c:106 @ 400ec0) [64] STD_Pre_Proc.omp_fn.3 (hash.c:184 @ 40132d) [166] _mm_slli_si128 (emmintrin.h:1155 @ 4023c7)
   [6] AES_Proc.omp_fn.1 (hash.c:92 @ 400edb) [110] STD_Step (hash.c:336 @ 401b78) [125] _mm_slli_si128 (emmintrin.h:1155 @ 4023d0)
  [81] F64_mult_efficient (field_op.h:32 @ 400f89) [111] STD_Step (hash.c:336 @ 401bd2) [167] _mm_slli_si128 (emmintrin.h:1155 @ 40241a)
  [82] F64_mult_efficient (field_op.h:34 @ 400f8c) [3] _mm_aesenc_si128 (wmmintrin.h:62 @ 402030) [168] _mm_slli_si128 (emmintrin.h:1155 @ 40248b)
